SAMPLE UTC,DECIMAL DAY,BX PLANETOCENTRIC,BY PLANETOCENTRIC,BZ PLANETOCENTRIC,INSTRUMENT RANGE,X,Y,Z
2016-08-01T00:00:02.505,214.000029008,        4.42,        0.74,       -5.15, 0.,  -6552335.506,   4747903.681,   -452620.910
2016-08-01T00:00:03.505,214.000040582,        4.43,        0.72,       -5.09, 0.,  -6551500.472,   4749055.856,   -452620.373
2016-08-01T00:00:04.505,214.000052156,        4.48,        0.75,       -5.08, 0.,  -6550665.237,   4750207.884,   -452619.836
2016-08-01T00:00:05.505,214.000063730,        4.45,        0.73,       -5.06, 0.,  -6549829.798,   4751359.766,   -452619.299
2016-08-01T00:00:06.505,214.000075304,        4.52,        0.62,       -5.13, 0.,  -6548994.158,   4752511.500,   -452618.762
2016-08-01T00:00:07.506,214.000086878,        4.48,        0.65,       -5.15, 0.,  -6548158.314,   4753663.088,   -452618.225
2016-08-01T00:00:08.506,214.000098452,        4.44,        0.60,       -5.16, 0.,  -6547322.268,   4754814.528,   -452617.688
2016-08-01T00:00:09.506,214.000110026,        4.44,        0.61,       -5.15, 0.,  -6546486.020,   4755965.822,   -452617.151
2016-08-01T00:00:10.506,214.000121600,        4.35,        0.62,       -5.19, 0.,  -6545649.569,   4757116.968,   -452616.614
2016-08-01T00:00:11.506,214.000133174,        4.36,        0.61,       -5.15, 0.,  -6544812.916,   4758267.968,   -452616.077
2016-08-01T00:00:12.506,214.000144748,        4.36,        0.58,       -5.17, 0.,  -6543976.060,   4759418.820,   -452615.540
2016-08-01T00:00:13.506,214.000156322,        4.48,        0.57,       -5.07, 0.,  -6543139.002,   4760569.525,   -452615.003
2016-08-01T00:00:14.505,214.000167896,        4.50,        0.62,       -5.05, 0.,  -6542301.742,   4761720.082,   -452614.466
2016-08-01T00:00:15.505,214.000179470,        4.52,        0.59,       -5.01, 0.,  -6541464.279,   4762870.493,   -452613.929
2016-08-01T00:00:16.505,214.000191045,        4.55,        0.60,       -5.05, 0.,  -6540626.614,   4764020.756,   -452613.392
2016-08-01T00:00:17.505,214.000202619,        4.55,        0.62,       -4.95, 0.,  -6539788.747,   4765170.872,   -452612.855
2016-08-01T00:00:18.505,214.000214193,        4.52,        0.67,       -4.97, 0.,  -6538950.678,   4766320.841,   -452612.318
2016-08-01T00:00:19.505,214.000225767,        4.53,        0.69,       -5.00, 0.,  -6538112.406,   4767470.662,   -452611.781
2016-08-01T00:00:20.506,214.000237341,        4.51,        0.68,       -5.02, 0.,  -6537273.932,   4768620.336,   -452611.244
2016-08-01T00:00:21.505,214.000248915,        4.48,        0.71,       -5.04, 0.,  -6536435.256,   4769769.862,   -452610.707
2016-08-01T00:00:22.506,214.000260489,        4.45,        0.69,       -5.07, 0.,  -6535596.378,   4770919.241,   -452610.170
2016-08-01T00:00:23.506,214.000272063,        4.51,        0.70,       -5.03, 0.,  -6534757.298,   4772068.472,   -452609.633
2016-08-01T00:00:24.506,214.000283637,        4.48,        0.70,       -5.06, 0.,  -6533918.015,   4773217.555,   -452609.096
2016-08-01T00:00:25.506,214.000295211,        4.49,        0.72,       -5.08, 0.,  -6533078.531,   4774366.492,   -452608.559
2016-08-01T00:00:26.506,214.000306785,        4.53,        0.73,       -5.04, 0.,  -6532238.845,   4775515.280,   -452608.022
2016-08-01T00:00:27.506,214.000318359,        4.54,        0.68,       -5.01, 0.,  -6531398.956,   4776663.921,   -452607.485
2016-08-01T00:00:28.505,214.000329933,        4.48,        0.73,       -5.07, 0.,  -6530558.866,   4777812.414,   -452606.948
2016-08-01T00:00:29.505,214.000341507,        4.50,        0.75,       -5.06, 0.,  -6529718.573,   4778960.759,   -452606.411
2016-08-01T00:00:30.505,214.000353082,        4.54,        0.75,       -5.04, 0.,  -6528878.079,   4780108.956,   -452605.874
2016-08-01T00:00:31.505,214.000364656,        4.51,        0.73,       -5.11, 0.,  -6528037.383,   4781257.006,   -452605.337
2016-08-01T00:00:32.505,214.000376230,        4.55,        0.70,       -5.11, 0.,  -6527196.485,   4782404.908,   -452604.800
